Gene_ID	Chrom	Start	End	Strand	Gene_Symbol	Description	gene_biotype	Protein_ID	old_locus_tag	locus_tag	761_1_FPKM	761_2_FPKM	761_3_FPKM	NO_1_FPKM	NO_2_FPKM	NO_3_FPKM	761/NO.fc	761/NO.baseMean	761/NO.lfcSE	761/NO.stat	761/NO.raw.pval	761/NO.bh.pval	NO.mean	761.mean	N_NO_1	N_NO_2	N_NO_3	N_761_1	N_761_2	N_761_3	NO_1_Read_Count	NO_2_Read_Count	NO_3_Read_Count	761_1_Read_Count	761_2_Read_Count	761_3_Read_Count
8893782	chrpEA29	2725	3129	-	.	H-NS family nucleoid-associated regulatory protein	protein_coding	WP_009351632.1	EAMY_3715	EAMY_RS34430	1244.736644	1296.024886	1479.611147	1147.364522	1046.082262	982.668842	1.45499567202812	5952.37122256175	0.16466616138116	3.28552543655111	0.00101792350991153	0.00707435543917598	12.2433407179663	12.7846720823732	12.48594383	12.30520732	12.31676612	12.55641118	12.59924328	12.80110054	6712	4643	4174	6358	6785	6833
8893783	chrpEA29	4770	5627	-	.	LysR family transcriptional regulator	protein_coding	WP_009351639.1	EAMY_3718	EAMY_RS34440	26.152374	32.819549	26.166394	42.281316	47.750864	37.561176	-1.30704846189247	362.253709657894	0.158835724811212	-2.43215204823888	0.0150094050463257	0.0593759370508219	8.68047800633794	8.29564830641954	8.63740343	8.61269177	8.49613981	8.310034	8.47267356	8.40040982	524	449	338	283	364	256
8893784	chrpEA29	7441	8997	-	.	methyl-accepting chemotaxis protein	protein_coding	WP_009351645.1	EAMY_3721	EAMY_RS34450	35.188553	35.525152	40.610454	58.47115	58.780665	58.237359	-1.37018468496758	888.999741831179	0.151688685203756	-2.99541369353073	0.00274072849764172	0.0152763423979292	10.0045239598543	9.55225297150727	9.95380884	9.83929634	9.89182124	9.58875015	9.60553057	9.78726227	1315	1003	951	691	715	721
8893785	chrpEA29	9346	9630	-	.	VF530 family DNA-binding protein	protein_coding	WP_013036332.1	EAMY_3722	EAMY_RS34455	20.587274	24.972469	21.847648	20.648027	37.459604	32.117086	-1.14843457605827	89.0515571753065	0.241876158812739	-0.825499597336307	0.409088011203471	0.589072550159484	6.57428811673062	6.37174684236616	6.3503494	6.60122877	6.55422691	6.35635262	6.46774122	6.46021693	85	117	96	74	92	71
8893786	chrpEA29	10136	11419	+	.	type II toxin-antitoxin system HipA family toxin	protein_coding	WP_009351649.1	EAMY_3723	EAMY_RS34465	562.987699	587.010934	536.571558	649.181232	615.851266	634.536791	1.01528883670187	9253.6012605454	0.120152550375713	0.1821868453058	0.855436096155422	0.920258650073936	13.1647588250477	13.1867557660742	13.24433925	13.08729762	13.16871796	13.14368088	13.18672037	13.20985477	12040	8666	8545	9117	9743	7856
8893787	chrpEA29	11613	12578	-	.	HesA/MoeB/ThiF family protein	protein_coding	WP_009351651.1	EAMY_3724	EAMY_RS34470	4.760613	3.683827	3.540615	6.378483	8.029047	5.32999	-1.43725875472902	60.4489161206205	0.258812012583021	-2.02200745397475	0.04317558180549	0.130271828117927	6.15448215252366	5.63414081928075	6.02547992	6.06707566	5.8891212	5.87596124	5.76601772	5.80539242	89	85	54	58	46	39
8893788	chrpEA29	15249	15647	+	.	type II toxin-antitoxin system VapC family toxin	protein_coding	WP_223386258.1	EAMY_3729	EAMY_RS34495	24.2437	29.082844	32.090106	42.163618	39.792253	36.083929	-1.2061115142331	162.626555460308	0.207663033719365	-1.30193273570064	0.192939380678984	0.359072617711812	7.47058842306194	7.20834920787145	7.4928045	7.34927594	7.33690206	7.14920207	7.26521101	7.40378203	243	174	151	122	150	146
8893791	chrpEA29	18266	18850	+	.	recombinase family protein	protein_coding	WP_009351668.1	EAMY_3735	EAMY_RS34520	96.637489	114.387549	71.058113	148.285845	205.268449	156.956818	-1.57833177828671	908.959047439572	0.165067867682935	-3.98866546714548	6.64460474348489e-05	0.00077962118902475	10.1206124444869	9.46072022419091	9.92369689	10.05759	9.9088781	9.61845958	9.74854333	9.50385901	1253	1316	963	713	865	474
8893792	chrpEA29	25131	25667	+	msrA	peptide-methionine (S)-S-oxide reductase MsrA	protein_coding	WP_009351678.1	EAMY_3740	EAMY_RS34545	383.746094	390.547394	462.008386	348.994403	360.912899	368.606363	1.32271927358115	2527.37377461639	0.154731742329148	2.60778363014851	0.00911305377141143	0.0403903852203688	11.0872862073091	11.491359062938	11.21710331	11.12931879	11.20177825	11.29634657	11.3210197	11.54747863	2707	2124	2076	2599	2711	2829
8893794	chrpEA29	22571	23569	+	.	Rpn family recombination-promoting nuclease/putative transposase	protein_coding	WP_009351674.1	EAMY_3738	EAMY_RS34535	695.979674	788.471711	805.964098	866.192207	908.915303	976.382327	-1.04305878453042	10109.7204498094	0.14014895558202	-0.433970178794748	0.664310096495914	0.79268611370669	13.3334920513607	13.2727802428209	13.33136406	13.25066637	13.36545483	13.17523666	13.27932398	13.38856618	12499	9951	10230	8769	10182	9181
